Author,Timestamp,Likes,Total_Replies,Comment_Content
@dalestone3152,1:00:00,2,0,1:00:00 this part of the podcast aged PERFECTLY after the california wildfires. Trump called their bluff back 3 months before it happened!
@BrandonYbarra,1:07:19,1,0,Whos back here to see Dimitri the tapeworm 🤣 1:07:19
@theGraphicAutist,1:02:00,0,0,1:02:00 is that why there are empty giant aqueducts thru LA
@ONeSIde25,2:15:21,0,0,2:15:21 😂
@acleanpairofsocks,32:00,4,0,"32:00 CBS was just forced to upload this interview in full, unedited 👏"
@Theminnowscoop,2:37:54,0,0,2:37:54
@mattiaskeinnn3317,26:04,0,0,"26:04 there was one, remember those stairs."
@JayTheAdviceGuy,2:18:14,0,0,2:18:14 tells you all you need to know.
@rasmus5341,2:05:46,0,0,2:05:46 the greatest bit in this entire interview
@thekaratesuit,2:01:55,1,0,2:01:55 pretty sure here’s an edit when it switches to Joe
